,model_0
0,0.6943998336791992
1,0.00766301155090332
2,0.008234977722167969
3,0.0072040557861328125
4,0.007559299468994141
5,0.00740504264831543
6,0.004947185516357422
7,0.00503087043762207
8,0.004812002182006836
9,0.004739046096801758
10,0.0051081180572509766
11,0.005093097686767578
12,0.004561185836791992
13,0.004457950592041016
14,0.00492095947265625
15,0.00533294677734375
16,0.0051457881927490234
17,0.005015850067138672
18,0.004797935485839844
19,0.005416154861450195
20,0.005053043365478516
21,0.004837989807128906
22,0.004737138748168945
23,0.005218982696533203
24,0.0052280426025390625
25,0.004099845886230469
